(base) root@fd3643bcbac3:~/my_codes/cgcnn_new# python predict.py pre-trained/formation-energy-per-atom.pth data/N_materials
Total CIF files found: 8459
Test set size: 1691 materials

==================== TEST RESULTS ====================
Number of test materials: 1691
MAE : 0.304595 eV/atom
MSE : 0.271514 (eV/atom)^2
====================================================

Material-wise Predictions:
mp-1216011           | Ground Truth: -0.198754 | Predicted: -0.201070
mp-1078335           | Ground Truth: -1.368102 | Predicted: -1.302446
mp-1245987           | Ground Truth: -0.136515 | Predicted: -0.471180
mp-1246686           | Ground Truth: -0.021368 | Predicted: -0.249937
mp-1222157           | Ground Truth: -2.692343 | Predicted: -3.183037
mp-1247257           | Ground Truth: 0.347911 | Predicted: 0.284773
mp-1193962           | Ground Truth: -0.521623 | Predicted: -0.833681
mp-1224383           | Ground Truth: -1.589035 | Predicted: -1.502621
mp-1029269           | Ground Truth: -0.273352 | Predicted: -0.311445
mp-1227146           | Ground Truth: -2.503536 | Predicted: -2.515646
mp-1192022           | Ground Truth: 1.207317 | Predicted: 0.155862
mp-667338            | Ground Truth: 0.418739 | Predicted: 0.053113
mp-10736             | Ground Truth: -0.400365 | Predicted: -0.388905
mp-1204426           | Ground Truth: -2.497867 | Predicted: -2.530143
mp-776271            | Ground Truth: -2.254940 | Predicted: -2.285225
mp-1201305           | Ground Truth: 1.329667 | Predicted: 0.556235
mp-1247390           | Ground Truth: -0.559406 | Predicted: -0.525844
mp-13590             | Ground Truth: -0.158727 | Predicted: -0.005621
mp-568172            | Ground Truth: -0.921764 | Predicted: -0.951453
mp-1084767           | Ground Truth: -1.243908 | Predicted: -1.154530
mp-1246031           | Ground Truth: -0.175051 | Predicted: -0.246584
mp-1190909           | Ground Truth: -1.454472 | Predicted: -2.043880
mp-1246306           | Ground Truth: -0.284506 | Predicted: -0.432886
mp-1245586           | Ground Truth: -0.503028 | Predicted: -0.818656
mp-1205276           | Ground Truth: 0.075841 | Predicted: -0.286437
mp-1446433           | Ground Truth: -0.845609 | Predicted: -0.944320
mp-1105968           | Ground Truth: -0.306311 | Predicted: -0.387877
mp-1222494           | Ground Truth: 0.032799 | Predicted: -0.544917
mp-672200            | Ground Truth: -0.257468 | Predicted: -0.294194
mp-676368            | Ground Truth: -1.178894 | Predicted: -1.420384
mp-772397            | Ground Truth: -1.945314 | Predicted: -1.947847
mp-870               | Ground Truth: 0.310555 | Predicted: 0.064813
mp-989581            | Ground Truth: -0.929144 | Predicted: -1.008636
mp-557181            | Ground Truth: -1.382896 | Predicted: -1.445462
mp-1218762           | Ground Truth: -0.522848 | Predicted: -0.578287
mp-1223753           | Ground Truth: -0.149348 | Predicted: -0.380754
mp-1204637           | Ground Truth: -0.043257 | Predicted: -0.721621
mp-734137            | Ground Truth: -0.557085 | Predicted: -0.739852
mp-1245747           | Ground Truth: -0.197911 | Predicted: -0.395153
mp-1096888           | Ground Truth: -0.056643 | Predicted: -0.430092
mp-1245996           | Ground Truth: -0.370138 | Predicted: -0.466170
mp-1247533           | Ground Truth: 0.436615 | Predicted: 0.167998
mp-1246333           | Ground Truth: -0.522319 | Predicted: -0.624038
mp-675301            | Ground Truth: -0.206385 | Predicted: -0.734378
mp-1200557           | Ground Truth: -1.490443 | Predicted: -1.515200
mp-1189095           | Ground Truth: -0.600349 | Predicted: -1.297158
mp-1245412           | Ground Truth: 0.174599 | Predicted: 0.065274
mp-8306              | Ground Truth: -0.711653 | Predicted: -0.601820
mp-3346732           | Ground Truth: -0.881444 | Predicted: -0.868728
mp-1245506           | Ground Truth: 0.150787 | Predicted: -0.221524
mp-1173578           | Ground Truth: -0.904106 | Predicted: -1.093153
mp-560637            | Ground Truth: -0.175464 | Predicted: -0.525912
mp-29964             | Ground Truth: -1.676597 | Predicted: -1.544880
mp-1247248           | Ground Truth: 0.064780 | Predicted: -0.202628
mp-1245672           | Ground Truth: -0.080666 | Predicted: -0.251419
mp-1103281           | Ground Truth: -0.383694 | Predicted: -0.591245
mp-570848            | Ground Truth: 0.304575 | Predicted: 0.156844
mp-775929            | Ground Truth: -2.855776 | Predicted: -2.868113
mp-1233979           | Ground Truth: -2.201922 | Predicted: -2.304375
mp-1214882           | Ground Truth: 0.950646 | Predicted: 0.239380
mp-1065394           | Ground Truth: -0.532377 | Predicted: -0.512726
mp-729204            | Ground Truth: -0.473700 | Predicted: -1.514784
mp-634429            | Ground Truth: -0.742987 | Predicted: -0.913688
mp-776331            | Ground Truth: -2.206670 | Predicted: -2.196804
mp-743715            | Ground Truth: -1.162487 | Predicted: -1.510148
mp-1246718           | Ground Truth: -0.622650 | Predicted: -0.617808
mp-1178261           | Ground Truth: -1.748061 | Predicted: -1.787398
mp-1009831           | Ground Truth: -0.542426 | Predicted: -0.619346
mp-1204481           | Ground Truth: -0.624606 | Predicted: -1.008283
mp-752446            | Ground Truth: -1.400059 | Predicted: -1.432945
mp-680008            | Ground Truth: -1.023130 | Predicted: -0.972827
mp-724876            | Ground Truth: -1.358258 | Predicted: -1.923006
mp-1335659           | Ground Truth: 1.712138 | Predicted: -0.850944
mp-1201090           | Ground Truth: -0.262790 | Predicted: -0.146652
mp-1246920           | Ground Truth: 0.293656 | Predicted: 0.318604
mp-1014993           | Ground Truth: -0.202699 | Predicted: -0.204816
mp-780722            | Ground Truth: -2.958093 | Predicted: -3.049314
mp-1103827           | Ground Truth: 0.468973 | Predicted: -0.890832
mp-1198000           | Ground Truth: -1.254180 | Predicted: -1.442378
mp-10247             | Ground Truth: -1.414390 | Predicted: -1.382239
mp-1216865           | Ground Truth: -1.311533 | Predicted: -1.314290
mp-726225            | Ground Truth: -0.372651 | Predicted: -1.638699
mp-13098             | Ground Truth: -1.063579 | Predicted: -1.129700
mp-1208194           | Ground Truth: -1.024552 | Predicted: -2.394322
mp-1206402           | Ground Truth: -0.170499 | Predicted: -0.068664
mp-1204235           | Ground Truth: -0.516359 | Predicted: -1.246028
mp-1209862           | Ground Truth: -1.577761 | Predicted: -2.176289
mp-1213527           | Ground Truth: -0.700478 | Predicted: -1.177265
mp-1102114           | Ground Truth: -0.379043 | Predicted: -0.858705
mp-1245933           | Ground Truth: -0.624779 | Predicted: -0.850516
mp-1246234           | Ground Truth: -0.800102 | Predicted: -1.149276
mp-1199129           | Ground Truth: -0.944292 | Predicted: -1.284660
mp-1245707           | Ground Truth: 0.055665 | Predicted: 0.111516
mp-1192890           | Ground Truth: -2.047212 | Predicted: -2.688343
mp-1193403           | Ground Truth: -0.479346 | Predicted: -0.975795
mp-1199487           | Ground Truth: -0.575087 | Predicted: -0.705469
mp-1020107           | Ground Truth: -1.347443 | Predicted: -1.358651
mp-707274            | Ground Truth: -0.907063 | Predicted: -1.020132
mp-1245456           | Ground Truth: 0.161832 | Predicted: -0.026015
mp-1208477           | Ground Truth: 2.211401 | Predicted: -0.457729
mp-1246589           | Ground Truth: 0.137092 | Predicted: 0.081246
mp-1212814           | Ground Truth: -2.024801 | Predicted: -2.425644
mp-720295            | Ground Truth: -1.397737 | Predicted: -1.574921
mp-1225363           | Ground Truth: -0.271230 | Predicted: -0.419641
mp-1228638           | Ground Truth: -0.667772 | Predicted: -0.741355
mp-3062              | Ground Truth: -2.116761 | Predicted: -2.192006
mp-1214072           | Ground Truth: -0.958352 | Predicted: -0.973715
mp-1246744           | Ground Truth: -0.308640 | Predicted: -0.207014
mp-1247494           | Ground Truth: -0.577215 | Predicted: -0.792741
mp-1204446           | Ground Truth: 0.316060 | Predicted: -0.674482
mp-1245878           | Ground Truth: 0.138916 | Predicted: 0.201804
mp-1080848           | Ground Truth: -0.922206 | Predicted: -1.025033
mp-16929             | Ground Truth: -1.475530 | Predicted: -1.439509
mp-1245926           | Ground Truth: -0.856458 | Predicted: -0.904107
mp-1199807           | Ground Truth: -1.277006 | Predicted: -1.456464
mp-1202811           | Ground Truth: -0.887702 | Predicted: -1.174963
mp-1247130           | Ground Truth: -0.764419 | Predicted: -0.829537
mp-569812            | Ground Truth: -1.028978 | Predicted: -1.187832
mp-1201962           | Ground Truth: -1.848569 | Predicted: -1.578443
mp-1196565           | Ground Truth: -0.633322 | Predicted: -1.338495
mp-672334            | Ground Truth: -0.865364 | Predicted: -0.896437
mp-1246539           | Ground Truth: 0.328097 | Predicted: 0.229955
mp-1232320           | Ground Truth: 1.175830 | Predicted: 0.521411
mp-1197329           | Ground Truth: 0.651771 | Predicted: -0.343283
mp-1224289           | Ground Truth: -1.288307 | Predicted: -1.213520
mp-628633            | Ground Truth: 0.264376 | Predicted: -0.030065
mp-1246153           | Ground Truth: -1.513575 | Predicted: -1.653505
mp-1200586           | Ground Truth: -1.025940 | Predicted: -1.380618
mp-1212614           | Ground Truth: -0.878794 | Predicted: -0.951122
mp-4497              | Ground Truth: -1.918822 | Predicted: -1.962366
mp-1204171           | Ground Truth: -0.796096 | Predicted: -1.186626
mp-1213515           | Ground Truth: -0.150281 | Predicted: -0.453219
mp-1225681           | Ground Truth: -0.728650 | Predicted: -0.853253
mp-560716            | Ground Truth: -1.248425 | Predicted: -1.314910
mp-1212762           | Ground Truth: -0.202718 | Predicted: -0.380809
mp-1245912           | Ground Truth: -0.430560 | Predicted: -0.628559
mp-1197132           | Ground Truth: -1.125531 | Predicted: -1.180366
mp-1245347           | Ground Truth: -0.099779 | Predicted: -0.230510
mp-1198640           | Ground Truth: -0.401403 | Predicted: -0.914185
mp-1181505           | Ground Truth: -0.458583 | Predicted: -0.591302
mp-724995            | Ground Truth: 0.611957 | Predicted: -0.800481
mp-1245424           | Ground Truth: 0.354481 | Predicted: -0.012533
mp-1247346           | Ground Truth: 0.075696 | Predicted: 0.043955
mp-1246714           | Ground Truth: -0.856826 | Predicted: -1.142041
mp-1418945           | Ground Truth: -0.466434 | Predicted: -0.934421
mp-1192144           | Ground Truth: -1.573379 | Predicted: -1.509847
mp-1228723           | Ground Truth: -1.435407 | Predicted: -1.346003
mp-1247356           | Ground Truth: 0.084301 | Predicted: -0.162450
mp-36248             | Ground Truth: -0.692501 | Predicted: -0.725094
mp-31056             | Ground Truth: -1.203263 | Predicted: -1.121851
mp-1195623           | Ground Truth: -0.670871 | Predicted: -0.718269
mp-1029312           | Ground Truth: -0.915033 | Predicted: -0.926965
mp-2901810           | Ground Truth: 0.351682 | Predicted: -0.588433
mp-1080799           | Ground Truth: -0.246281 | Predicted: -1.053177
mp-1225410           | Ground Truth: -1.819353 | Predicted: -1.627403
mp-1246215           | Ground Truth: 0.129838 | Predicted: 0.063579
mp-1245334           | Ground Truth: 0.023152 | Predicted: -0.428179
mp-1246364           | Ground Truth: 0.216328 | Predicted: -0.118787
mp-1228304           | Ground Truth: -1.184489 | Predicted: -1.148480
mp-1247333           | Ground Truth: -0.872039 | Predicted: -0.986027
mp-1245931           | Ground Truth: 0.231207 | Predicted: 0.628047
mp-1189989           | Ground Truth: 1.604392 | Predicted: 0.076713
mp-1178614           | Ground Truth: -1.097008 | Predicted: -1.282580
mp-1187056           | Ground Truth: 0.921124 | Predicted: 0.153213
mp-1200509           | Ground Truth: 0.019486 | Predicted: -0.149963
mp-1069558           | Ground Truth: -1.906793 | Predicted: -1.658659
mp-1245484           | Ground Truth: -0.970991 | Predicted: -1.094797
mp-1406172           | Ground Truth: -0.468759 | Predicted: -0.727783
mp-1245674           | Ground Truth: -0.447395 | Predicted: -0.468650
mp-1245657           | Ground Truth: -0.780461 | Predicted: -0.709209
mp-1197204           | Ground Truth: 0.624369 | Predicted: -0.587415
mp-2218869           | Ground Truth: -1.870222 | Predicted: -1.946578
mp-1195558           | Ground Truth: -0.372320 | Predicted: -0.444357
mp-1188048           | Ground Truth: 0.492199 | Predicted: 0.417946
mp-1215180           | Ground Truth: -1.872202 | Predicted: -1.836895
mp-1071956           | Ground Truth: -2.461361 | Predicted: -2.671553
mp-1199250           | Ground Truth: 0.165252 | Predicted: -0.972685
mp-1080805           | Ground Truth: 0.536835 | Predicted: -0.139037
mp-1102232           | Ground Truth: 0.116433 | Predicted: 0.469691
mp-1199676           | Ground Truth: -1.156592 | Predicted: -1.282414
mp-1247482           | Ground Truth: 0.054857 | Predicted: -0.254816
mp-21128             | Ground Truth: 0.748858 | Predicted: 0.744498
mp-972831            | Ground Truth: -1.362934 | Predicted: -1.376044
mp-1196452           | Ground Truth: -0.415126 | Predicted: -0.773151
mp-734003            | Ground Truth: -1.988910 | Predicted: -2.452486
mp-773830            | Ground Truth: -0.579010 | Predicted: -0.596086
mp-1179029           | Ground Truth: -0.447388 | Predicted: -0.995444
mp-707841            | Ground Truth: -1.244179 | Predicted: -1.348845
mp-641539            | Ground Truth: -1.033237 | Predicted: -1.031708
mp-1246636           | Ground Truth: -0.319771 | Predicted: -0.395302
mp-1198034           | Ground Truth: -0.667163 | Predicted: -0.601051
mp-690667            | Ground Truth: 0.457978 | Predicted: -0.266499
mp-1247210           | Ground Truth: 0.010458 | Predicted: -0.293573
mp-1245418           | Ground Truth: 0.056398 | Predicted: 0.239569
mp-9383              | Ground Truth: -1.639650 | Predicted: -1.607307
mp-1246504           | Ground Truth: -0.781616 | Predicted: -0.862441
mp-1246128           | Ground Truth: -0.788964 | Predicted: -0.963408
mp-1245511           | Ground Truth: -0.571730 | Predicted: -0.818765
mp-1078349           | Ground Truth: -1.511420 | Predicted: -1.398673
mp-730487            | Ground Truth: -0.874662 | Predicted: -1.618915
mp-776470            | Ground Truth: -1.973946 | Predicted: -1.852713
mp-1247052           | Ground Truth: -0.450321 | Predicted: -0.284679
mp-1106173           | Ground Truth: -0.541327 | Predicted: -0.633766
mp-778375            | Ground Truth: -2.863633 | Predicted: -2.864348
mp-1206994           | Ground Truth: -1.172515 | Predicted: -1.103405
mp-1147731           | Ground Truth: 0.568129 | Predicted: 0.541415
mp-1105809           | Ground Truth: -1.975368 | Predicted: -1.932212
mp-1201065           | Ground Truth: -0.577902 | Predicted: -0.656956
mp-1202899           | Ground Truth: 0.930379 | Predicted: -0.421833
mp-1245742           | Ground Truth: -0.804714 | Predicted: -0.832219
mp-776966            | Ground Truth: -0.581431 | Predicted: -0.603412
mp-1247269           | Ground Truth: 0.041911 | Predicted: -0.170988
mp-1029960           | Ground Truth: -0.079954 | Predicted: -0.336126
mp-1245745           | Ground Truth: -1.484522 | Predicted: -1.575436
mp-697075            | Ground Truth: -0.766618 | Predicted: -0.638566
mp-1246013           | Ground Truth: -0.232449 | Predicted: -0.350879
mp-1247458           | Ground Truth: -0.406290 | Predicted: -0.540246
mp-4604              | Ground Truth: -0.959033 | Predicted: -0.902304
mp-1246323           | Ground Truth: -0.736369 | Predicted: -0.751197
mp-1214972           | Ground Truth: 0.332428 | Predicted: -0.575950
mp-1221537           | Ground Truth: -1.307860 | Predicted: -1.540237
mp-1095618           | Ground Truth: 0.214806 | Predicted: 0.793693
mp-1247167           | Ground Truth: 0.352198 | Predicted: 0.286650
mp-616514            | Ground Truth: 0.512195 | Predicted: 0.280298
mp-1189491           | Ground Truth: -0.019853 | Predicted: -0.015841
mp-1013557           | Ground Truth: -0.870385 | Predicted: -0.900246
mp-1190337           | Ground Truth: 1.557298 | Predicted: -0.125951
mp-1079290           | Ground Truth: 1.738909 | Predicted: 0.613740
mp-778995            | Ground Truth: -3.053070 | Predicted: -3.068726
mp-1200966           | Ground Truth: -1.419643 | Predicted: -1.551687
mp-1181207           | Ground Truth: -1.043557 | Predicted: -1.111598
mp-558183            | Ground Truth: -0.701905 | Predicted: -0.863208
mp-1018018           | Ground Truth: 0.874052 | Predicted: 0.738165
mp-1246024           | Ground Truth: -0.988816 | Predicted: -0.918060
mp-601401            | Ground Truth: -0.506653 | Predicted: -0.711102
mp-1245943           | Ground Truth: 0.173303 | Predicted: -0.332366
mp-1245546           | Ground Truth: 0.208250 | Predicted: 0.024673
mp-1245709           | Ground Truth: -0.254925 | Predicted: -0.575549
mp-1029466           | Ground Truth: -0.089707 | Predicted: -0.231251
mp-626529            | Ground Truth: -1.119201 | Predicted: -1.206056
mp-1246052           | Ground Truth: -0.790373 | Predicted: -0.855236
mp-1080587           | Ground Truth: -0.040741 | Predicted: -0.670553
mp-1209208           | Ground Truth: 0.251159 | Predicted: -0.754418
mp-1080197           | Ground Truth: -0.121260 | Predicted: -0.199224
mp-703297            | Ground Truth: -1.061021 | Predicted: -1.192941
mp-5001              | Ground Truth: -1.006786 | Predicted: -0.986721
mp-1203994           | Ground Truth: 0.642950 | Predicted: -0.843815
mp-1096994           | Ground Truth: -1.961727 | Predicted: -1.917061
mp-1029771           | Ground Truth: -0.832572 | Predicted: -1.038278
mp-1195226           | Ground Truth: -0.689089 | Predicted: -0.876220
mp-776461            | Ground Truth: -2.842962 | Predicted: -2.899418
mp-1246810           | Ground Truth: -0.850944 | Predicted: -0.848644
mp-23375             | Ground Truth: -0.964180 | Predicted: -0.872520
mp-531317            | Ground Truth: -0.778806 | Predicted: -0.762895
mp-7080              | Ground Truth: -0.440537 | Predicted: -0.365951
mp-1147612           | Ground Truth: 0.261651 | Predicted: 0.000897
mp-732005            | Ground Truth: -0.095571 | Predicted: -0.753013
mp-1194636           | Ground Truth: -1.414302 | Predicted: -1.483624
mp-1217501           | Ground Truth: 0.342931 | Predicted: -0.996983
mp-757652            | Ground Truth: -1.156255 | Predicted: -1.290867
mp-1009483           | Ground Truth: 0.970173 | Predicted: 0.895267
mp-1080204           | Ground Truth: -0.203661 | Predicted: -0.270986
mp-1203828           | Ground Truth: -1.486627 | Predicted: -1.516244
mp-1071868           | Ground Truth: 0.966407 | Predicted: -0.145399
mp-1246073           | Ground Truth: -0.655335 | Predicted: -0.698188
mp-1210513           | Ground Truth: 0.955028 | Predicted: 0.605436
mp-1080840           | Ground Truth: 1.243024 | Predicted: -0.044280
mp-1103524           | Ground Truth: 1.611635 | Predicted: -0.507454
mp-1181260           | Ground Truth: 0.248270 | Predicted: 0.132468
mp-989611            | Ground Truth: -0.845413 | Predicted: -0.721651
mp-1395833           | Ground Truth: 0.135666 | Predicted: -0.117697
mp-1079140           | Ground Truth: -0.142205 | Predicted: -1.295716
mp-2902558           | Ground Truth: -0.131324 | Predicted: -0.450393
mp-1029921           | Ground Truth: -1.430874 | Predicted: -1.355343
mp-1192541           | Ground Truth: -1.778740 | Predicted: -1.416705
mp-1080242           | Ground Truth: 0.481050 | Predicted: -0.123842
mp-1202309           | Ground Truth: -2.194094 | Predicted: -2.190960
mp-1180567           | Ground Truth: -0.107698 | Predicted: -0.878241
mp-1246552           | Ground Truth: 0.046372 | Predicted: -0.302402
mp-1206425           | Ground Truth: 0.069595 | Predicted: -0.059781
mp-1430841           | Ground Truth: 0.875644 | Predicted: 0.611297
mp-1201695           | Ground Truth: -0.149360 | Predicted: -0.258208
mp-1247105           | Ground Truth: -1.177997 | Predicted: -1.258039
mp-1246672           | Ground Truth: 0.055143 | Predicted: 0.090924
mp-1245998           | Ground Truth: 0.304955 | Predicted: -0.053204
mp-235               | Ground Truth: 0.363112 | Predicted: 0.041684
mp-1246358           | Ground Truth: 0.144539 | Predicted: -0.146574
mp-776336            | Ground Truth: -2.128543 | Predicted: -2.156515
mp-1245416           | Ground Truth: 0.069223 | Predicted: -0.074722
mp-714851            | Ground Truth: -1.314797 | Predicted: -1.322118
mp-1245486           | Ground Truth: -0.550804 | Predicted: -0.897176
mp-1220115           | Ground Truth: -0.134274 | Predicted: -0.187411
mp-1181339           | Ground Truth: -1.545782 | Predicted: -2.050067
mp-9307              | Ground Truth: -0.567186 | Predicted: -0.571310
mp-1245593           | Ground Truth: -0.503224 | Predicted: -0.806580
mp-1200757           | Ground Truth: -0.185680 | Predicted: -0.146245
mp-1245965           | Ground Truth: -0.783058 | Predicted: -0.893563
mp-1102              | Ground Truth: -2.215706 | Predicted: -2.059016
mp-1191162           | Ground Truth: -0.220567 | Predicted: -1.321534
mp-1212130           | Ground Truth: -1.426259 | Predicted: -1.461396
mp-1204579           | Ground Truth: -0.563584 | Predicted: -0.783954
mp-1225023           | Ground Truth: -0.418622 | Predicted: -0.393133
mp-1213868           | Ground Truth: -0.880754 | Predicted: -0.971675
mp-1079724           | Ground Truth: 1.272409 | Predicted: 0.253889
mp-1103502           | Ground Truth: -0.474597 | Predicted: -0.558564
mp-1246631           | Ground Truth: -0.844198 | Predicted: -0.984528
mp-1246021           | Ground Truth: -0.903596 | Predicted: -0.926765
mp-1182066           | Ground Truth: -0.710432 | Predicted: -0.946711
mp-723034            | Ground Truth: -0.363564 | Predicted: -0.568364
mp-557565            | Ground Truth: -0.774163 | Predicted: -1.126530
mp-1219905           | Ground Truth: -1.999148 | Predicted: -2.217463
mp-1096957           | Ground Truth: -0.146759 | Predicted: -0.483912
