(base) root@fd3643bcbac3:~/my_codes/cgcnn_new# python predict.py pre-trained/formation-energy-per-atom.pth data/C_materials
Total CIF files found: 5281
Test set size: 1056 materials

==================== TEST RESULTS ====================
Number of test materials: 1056
MAE : 0.213669 eV/atom
MSE : 0.138307 (eV/atom)^2
====================================================

Material-wise Predictions:
mp-648157            | Ground Truth: -0.953001 | Predicted: -0.771169
mp-1026737           | Ground Truth: 0.356412 | Predicted: 0.064793
mp-1205404           | Ground Truth: -0.340440 | Predicted: -0.434890
mp-1037463           | Ground Truth: -2.833410 | Predicted: -2.985810
mp-1223850           | Ground Truth: -1.627828 | Predicted: -1.471141
mp-1200885           | Ground Truth: -0.262736 | Predicted: -0.274259
mp-1219302           | Ground Truth: -0.253582 | Predicted: -0.298937
mp-1072492           | Ground Truth: 0.079698 | Predicted: -0.092640
mp-1196807           | Ground Truth: 0.807439 | Predicted: -0.051352
mp-1191659           | Ground Truth: -0.501634 | Predicted: -0.994615
mp-695863            | Ground Truth: -0.673888 | Predicted: -1.233051
mp-728536            | Ground Truth: -0.133646 | Predicted: -1.017124
mp-1199064           | Ground Truth: 1.436445 | Predicted: 0.326551
mp-558543            | Ground Truth: -2.253022 | Predicted: -2.308787
mp-1368835           | Ground Truth: 1.048950 | Predicted: 0.269178
mp-1203259           | Ground Truth: -0.429585 | Predicted: -0.496895
mp-1204205           | Ground Truth: 1.083655 | Predicted: 0.038252
mp-1173800           | Ground Truth: -1.377637 | Predicted: -1.395984
mp-19893             | Ground Truth: -1.808763 | Predicted: -1.816342
mp-1018048           | Ground Truth: -0.252704 | Predicted: -0.303069
mp-19855             | Ground Truth: -0.097992 | Predicted: -0.052524
mp-650140            | Ground Truth: -0.808541 | Predicted: -1.070024
mp-758175            | Ground Truth: -2.025641 | Predicted: -2.023460
mp-1065540           | Ground Truth: 2.645108 | Predicted: 0.757672
mp-1245820           | Ground Truth: 0.125178 | Predicted: 0.063577
mp-1106080           | Ground Truth: -0.722033 | Predicted: -0.754700
mp-35751             | Ground Truth: 0.121893 | Predicted: 0.030647
mp-1196323           | Ground Truth: -1.465557 | Predicted: -1.730422
mp-621927            | Ground Truth: -0.962905 | Predicted: -0.864053
mp-1106263           | Ground Truth: -0.277989 | Predicted: -0.296812
mp-1215358           | Ground Truth: -0.786991 | Predicted: -0.652187
mp-1199394           | Ground Truth: -0.196804 | Predicted: -0.125119
mp-1096993           | Ground Truth: -0.925744 | Predicted: -0.737104
mp-1212319           | Ground Truth: -0.297807 | Predicted: -0.174724
mp-1036912           | Ground Truth: -2.802252 | Predicted: -2.971498
mp-1208136           | Ground Truth: -1.260208 | Predicted: -1.442744
mp-1198772           | Ground Truth: -1.030368 | Predicted: -1.069488
mp-558658            | Ground Truth: -2.446977 | Predicted: -2.490881
mp-1206533           | Ground Truth: -0.434076 | Predicted: -0.491868
mp-1216723           | Ground Truth: -0.459589 | Predicted: -0.382049
mp-1104026           | Ground Truth: -0.035377 | Predicted: -0.088285
mp-1021726           | Ground Truth: 0.653580 | Predicted: 0.227107
mp-560574            | Ground Truth: 0.112204 | Predicted: -0.051748
mp-1098744           | Ground Truth: -2.838725 | Predicted: -2.980563
mp-2647048           | Ground Truth: -0.469803 | Predicted: -0.779199
mp-1199784           | Ground Truth: -1.071235 | Predicted: -1.477377
mp-1104250           | Ground Truth: -0.285791 | Predicted: -0.286983
mp-1214207           | Ground Truth: -0.155031 | Predicted: -0.526214
mp-679947            | Ground Truth: -0.952483 | Predicted: -0.763532
mp-642462            | Ground Truth: 0.058034 | Predicted: 0.116755
mp-1025379           | Ground Truth: -0.649304 | Predicted: -0.519387
mp-20978             | Ground Truth: 1.634102 | Predicted: 0.556555
mp-1193068           | Ground Truth: 0.614198 | Predicted: 0.330036
mp-4037              | Ground Truth: -0.344820 | Predicted: -0.367409
mp-1214386           | Ground Truth: 0.051784 | Predicted: -0.023222
mp-1099248           | Ground Truth: -1.805393 | Predicted: -2.611174
mp-568729            | Ground Truth: 0.235984 | Predicted: 0.020253
mp-1224369           | Ground Truth: -0.389047 | Predicted: -0.475587
mp-540785            | Ground Truth: -0.802767 | Predicted: -2.010010
mp-1208667           | Ground Truth: -1.731811 | Predicted: -2.069518
mp-1196217           | Ground Truth: 0.553766 | Predicted: -0.199825
mp-1031455           | Ground Truth: -2.281576 | Predicted: -2.717805
mp-15319             | Ground Truth: -0.266006 | Predicted: -0.290946
mp-569567            | Ground Truth: 0.117805 | Predicted: 0.392577
mp-995195            | Ground Truth: 0.013519 | Predicted: 0.339571
mp-1199920           | Ground Truth: -0.021035 | Predicted: -0.244435
mp-10289             | Ground Truth: -0.429514 | Predicted: -0.348069
mp-1192518           | Ground Truth: -0.358192 | Predicted: -0.061868
mp-8499              | Ground Truth: -0.311420 | Predicted: -0.333580
mp-708965            | Ground Truth: -0.246646 | Predicted: -0.627732
mp-555099            | Ground Truth: -2.258814 | Predicted: -2.242903
mp-608317            | Ground Truth: 0.595966 | Predicted: 0.273361
mp-1038619           | Ground Truth: -2.838579 | Predicted: -3.005108
mp-1104034           | Ground Truth: -1.484186 | Predicted: -1.367070
mp-1214254           | Ground Truth: -0.055773 | Predicted: -0.211667
mp-569892            | Ground Truth: -1.576251 | Predicted: -1.623333
mp-3346577           | Ground Truth: -2.235218 | Predicted: -2.498324
mp-1219399           | Ground Truth: -0.104982 | Predicted: -0.104629
mp-1080609           | Ground Truth: -0.145170 | Predicted: -0.139376
mp-1077743           | Ground Truth: 0.246395 | Predicted: 0.648582
mp-1205395           | Ground Truth: -2.558901 | Predicted: -2.558121
mp-1205279           | Ground Truth: -1.251351 | Predicted: -1.622052
mp-1200361           | Ground Truth: -1.434478 | Predicted: -1.668925
mp-1219737           | Ground Truth: -0.131009 | Predicted: -0.121867
mp-541789            | Ground Truth: -2.535794 | Predicted: -2.566665
mp-1008802           | Ground Truth: 0.884667 | Predicted: 0.775624
mp-1212240           | Ground Truth: 0.455800 | Predicted: -0.520905
mp-1215131           | Ground Truth: -2.206248 | Predicted: -2.301468
mp-995218            | Ground Truth: -0.525920 | Predicted: -0.303542
mp-504619            | Ground Truth: 0.135083 | Predicted: -0.055743
mp-758191            | Ground Truth: -1.861307 | Predicted: -1.946331
mp-1222106           | Ground Truth: -0.112493 | Predicted: -0.176920
mp-1009540           | Ground Truth: 0.716976 | Predicted: 1.019744
mp-1197162           | Ground Truth: -0.729794 | Predicted: -1.046281
mp-1212285           | Ground Truth: -1.536700 | Predicted: -1.293069
mp-569962            | Ground Truth: -1.909842 | Predicted: -1.626548
mp-1198597           | Ground Truth: -0.105302 | Predicted: -0.123763
mp-1217512           | Ground Truth: -0.208165 | Predicted: -0.213842
mp-1214070           | Ground Truth: 1.083558 | Predicted: 0.126491
mp-1224447           | Ground Truth: -0.461949 | Predicted: -0.515061
mp-1206773           | Ground Truth: -0.259312 | Predicted: -0.238164
mp-989472            | Ground Truth: -0.334723 | Predicted: -0.312736
mp-1223565           | Ground Truth: -0.766643 | Predicted: -0.700122
mp-1034501           | Ground Truth: -2.598222 | Predicted: -2.850504
mp-1207385           | Ground Truth: -0.407802 | Predicted: -0.301130
mp-977200            | Ground Truth: 1.064512 | Predicted: 0.186615
mp-1008806           | Ground Truth: 1.503487 | Predicted: 1.566206
mp-6511              | Ground Truth: -0.535122 | Predicted: -0.663983
mp-567908            | Ground Truth: -0.526427 | Predicted: -0.423390
mp-11713             | Ground Truth: -0.305855 | Predicted: -0.199504
mp-1214192           | Ground Truth: 0.243854 | Predicted: 0.122686
mp-1210530           | Ground Truth: -0.988884 | Predicted: -1.446520
mp-1021392           | Ground Truth: 0.397614 | Predicted: -0.053178
mp-23680             | Ground Truth: -0.894318 | Predicted: -1.053068
mp-1220326           | Ground Truth: -0.748846 | Predicted: -0.817978
mp-562220            | Ground Truth: -0.711101 | Predicted: -0.901582
mp-580802            | Ground Truth: -2.097929 | Predicted: -2.243761
mp-1037135           | Ground Truth: -2.803510 | Predicted: -2.953915
mp-752864            | Ground Truth: -1.843965 | Predicted: -1.861270
mp-559721            | Ground Truth: -2.606009 | Predicted: -2.763439
mp-753812            | Ground Truth: -1.849990 | Predicted: -1.845242
mp-1025362           | Ground Truth: -0.596681 | Predicted: -0.596743
mp-1238815           | Ground Truth: -0.130573 | Predicted: 0.020618
mp-1246426           | Ground Truth: 0.137469 | Predicted: -0.061724
mp-985594            | Ground Truth: -1.469170 | Predicted: -1.480327
mp-568028            | Ground Truth: 0.530861 | Predicted: 0.118038
mp-22714             | Ground Truth: -0.354660 | Predicted: -0.405599
mp-1017356           | Ground Truth: 0.349245 | Predicted: -0.049277
mp-727242            | Ground Truth: -1.785440 | Predicted: -1.926910
mp-723638            | Ground Truth: 1.041365 | Predicted: 0.563907
mp-1225413           | Ground Truth: -0.034471 | Predicted: -0.025634
mp-1078898           | Ground Truth: -0.379865 | Predicted: -0.382375
mp-729742            | Ground Truth: 0.335525 | Predicted: -0.819379
mp-1214830           | Ground Truth: 0.667474 | Predicted: 0.361339
mp-570148            | Ground Truth: -0.256542 | Predicted: -0.288572
mp-13592             | Ground Truth: 0.086530 | Predicted: 0.128267
mp-1199311           | Ground Truth: -0.741556 | Predicted: -1.230961
mp-1213247           | Ground Truth: -0.504259 | Predicted: -0.374180
mp-672184            | Ground Truth: -0.922383 | Predicted: -0.872762
mp-1197388           | Ground Truth: -0.009232 | Predicted: -0.065270
mp-1205848           | Ground Truth: -0.674322 | Predicted: -0.704760
mp-1226353           | Ground Truth: 2.316246 | Predicted: 0.146395
mp-758427            | Ground Truth: -1.571255 | Predicted: -1.580021
mp-10856             | Ground Truth: -0.440007 | Predicted: -0.441826
mp-1180522           | Ground Truth: -1.047420 | Predicted: -1.374338
mp-557375            | Ground Truth: -2.165770 | Predicted: -2.176383
mp-757737            | Ground Truth: -1.793386 | Predicted: -1.861246
mp-759711            | Ground Truth: -1.616194 | Predicted: -1.654384
mp-1034112           | Ground Truth: -2.703175 | Predicted: -2.962428
mp-2489              | Ground Truth: -0.255454 | Predicted: -0.155909
mp-1198568           | Ground Truth: -1.623389 | Predicted: -2.188439
mp-645339            | Ground Truth: 0.061938 | Predicted: 0.083043
mp-1196258           | Ground Truth: -0.223804 | Predicted: -0.269991
mp-767071            | Ground Truth: -1.908548 | Predicted: -1.909521
mp-1246047           | Ground Truth: 0.380470 | Predicted: 0.129980
mp-1195586           | Ground Truth: -0.030833 | Predicted: -0.037551
mp-1203337           | Ground Truth: 0.262707 | Predicted: 0.101196
mp-1220070           | Ground Truth: -0.082367 | Predicted: -0.078383
mp-753899            | Ground Truth: -1.914425 | Predicted: -1.934061
mp-1246040           | Ground Truth: 0.160971 | Predicted: -0.025063
mp-722329            | Ground Truth: -0.223717 | Predicted: -0.050888
mp-1200737           | Ground Truth: 0.835866 | Predicted: 0.163223
mp-762401            | Ground Truth: -1.638923 | Predicted: -1.722593
mp-1182972           | Ground Truth: 2.060360 | Predicted: 0.784114
mp-647805            | Ground Truth: -0.466977 | Predicted: -0.471354
mp-1205527           | Ground Truth: -0.501077 | Predicted: -0.448910
mp-1181749           | Ground Truth: -0.770333 | Predicted: -0.779079
mp-1033201           | Ground Truth: -2.006824 | Predicted: -2.421170
mp-18939             | Ground Truth: -0.955448 | Predicted: -1.315207
mp-1361722           | Ground Truth: 2.703761 | Predicted: -0.910909
mp-19836             | Ground Truth: 1.617043 | Predicted: 0.454756
mp-1189451           | Ground Truth: -0.564869 | Predicted: -0.623728
mp-772431            | Ground Truth: -1.347317 | Predicted: -1.437614
mp-1247836           | Ground Truth: 0.319324 | Predicted: -0.351312
mp-1181952           | Ground Truth: 1.266543 | Predicted: 0.306967
mp-1226701           | Ground Truth: -0.224519 | Predicted: -0.181904
mp-1224177           | Ground Truth: 0.170859 | Predicted: -0.034304
mp-568656            | Ground Truth: -0.305840 | Predicted: -0.199486
mp-1080511           | Ground Truth: -1.929741 | Predicted: -2.343081
mp-1205718           | Ground Truth: -0.458807 | Predicted: -0.388905
mp-2911857           | Ground Truth: -2.134643 | Predicted: -2.184722
mp-558412            | Ground Truth: -1.169274 | Predicted: -1.382207
mp-27769             | Ground Truth: -0.579760 | Predicted: -0.562667
mp-995219            | Ground Truth: -0.449534 | Predicted: -0.357144
mp-21313             | Ground Truth: -0.119668 | Predicted: -0.154595
mp-1077157           | Ground Truth: 1.416549 | Predicted: 1.455136
mp-27502             | Ground Truth: 0.256610 | Predicted: -0.245404
mp-1201857           | Ground Truth: -0.198093 | Predicted: -0.118919
mp-648988            | Ground Truth: 0.047896 | Predicted: -0.992069
mp-568534            | Ground Truth: 0.142318 | Predicted: -0.035188
mp-4992              | Ground Truth: -0.340515 | Predicted: -0.378601
mp-669555            | Ground Truth: -0.708637 | Predicted: -1.078017
mp-1193254           | Ground Truth: -1.757337 | Predicted: -2.336255
mp-1190169           | Ground Truth: 0.116209 | Predicted: 0.196687
mp-571150            | Ground Truth: -1.310088 | Predicted: -1.065792
mp-1228446           | Ground Truth: -0.202282 | Predicted: -0.119832
mp-20543             | Ground Truth: 1.422657 | Predicted: 0.207821
mp-1079380           | Ground Truth: 0.333377 | Predicted: 0.015105
mp-1189433           | Ground Truth: -0.791279 | Predicted: -0.676266
mp-1206182           | Ground Truth: -1.033181 | Predicted: -0.911236
mp-21075             | Ground Truth: -1.122896 | Predicted: -0.869196
mp-3776              | Ground Truth: -0.376084 | Predicted: -0.362804
mp-559976            | Ground Truth: -1.133026 | Predicted: -1.223283
mp-546202            | Ground Truth: -1.863298 | Predicted: -2.141158
mp-643989            | Ground Truth: -1.563919 | Predicted: -1.617420
mp-1216474           | Ground Truth: -0.495103 | Predicted: -0.502596
mp-5816              | Ground Truth: -0.544887 | Predicted: -0.438582
mp-1086653           | Ground Truth: -0.363930 | Predicted: -0.410312
mp-979041            | Ground Truth: -0.490421 | Predicted: -0.278925
mp-1196447           | Ground Truth: -1.327005 | Predicted: -1.612320
mp-1224208           | Ground Truth: -0.149414 | Predicted: -0.127565
mp-10928             | Ground Truth: -0.726570 | Predicted: -0.806382
mp-1204867           | Ground Truth: -0.277589 | Predicted: -0.307755
mp-645317            | Ground Truth: -2.036110 | Predicted: -2.181701
mp-1084804           | Ground Truth: -0.376595 | Predicted: -0.377041
mp-1245872           | Ground Truth: 0.258182 | Predicted: 0.071312
mp-560839            | Ground Truth: -0.273614 | Predicted: -0.168806
mp-1220257           | Ground Truth: 0.313835 | Predicted: 0.080683
mp-28344             | Ground Truth: -1.248055 | Predicted: -0.977486
mp-757939            | Ground Truth: -1.847338 | Predicted: -1.942614
mp-1224072           | Ground Truth: -0.072876 | Predicted: -0.095098
mp-1193310           | Ground Truth: -0.035642 | Predicted: -0.104918
mp-1205180           | Ground Truth: -0.544652 | Predicted: -0.344959
mp-1078212           | Ground Truth: 0.118801 | Predicted: 0.206702
mp-1229076           | Ground Truth: -0.137131 | Predicted: -0.212619
mp-1228558           | Ground Truth: -2.370834 | Predicted: -2.910478
mp-729525            | Ground Truth: 0.003532 | Predicted: -0.106574
mp-726614            | Ground Truth: -2.460222 | Predicted: -2.859811
mp-1189539           | Ground Truth: -0.272414 | Predicted: -0.370489
mp-1105554           | Ground Truth: -0.456371 | Predicted: -0.444977
mp-995201            | Ground Truth: -0.856672 | Predicted: -0.804421
mp-1218552           | Ground Truth: -2.381201 | Predicted: -2.483517
mp-1214225           | Ground Truth: -0.106864 | Predicted: 0.186011
mp-1223490           | Ground Truth: -0.386708 | Predicted: -0.342850
mp-20385             | Ground Truth: -0.473411 | Predicted: -0.396450
mp-1198466           | Ground Truth: 0.574282 | Predicted: -0.134412
mp-1219232           | Ground Truth: 0.148438 | Predicted: -0.005870
mp-1181658           | Ground Truth: 0.373328 | Predicted: -0.633248
mp-2034              | Ground Truth: -0.036911 | Predicted: -0.036217
mp-1200920           | Ground Truth: -1.534250 | Predicted: -1.507041
mp-20388             | Ground Truth: 1.404406 | Predicted: 0.199735
mp-729935            | Ground Truth: -0.355187 | Predicted: -0.554078
mp-1199388           | Ground Truth: -0.726413 | Predicted: -1.138158
mp-1202145           | Ground Truth: 0.371944 | Predicted: -0.590318
mp-866617            | Ground Truth: -2.459753 | Predicted: -2.512750
mp-1205712           | Ground Truth: -0.592228 | Predicted: -0.566835
mp-23118             | Ground Truth: -1.477186 | Predicted: -1.284155
mp-1220656           | Ground Truth: -0.033754 | Predicted: -0.028187
mp-1198774           | Ground Truth: -0.198290 | Predicted: -0.118385
mp-1205195           | Ground Truth: -0.173443 | Predicted: -0.253956
mp-569637            | Ground Truth: -1.971628 | Predicted: -1.891598
mp-989466            | Ground Truth: 0.154127 | Predicted: -0.176523
mp-23409             | Ground Truth: -1.324668 | Predicted: -1.166856
mp-24328             | Ground Truth: -1.562018 | Predicted: -1.636822
mp-1198370           | Ground Truth: -0.347281 | Predicted: -0.235429
mp-1214195           | Ground Truth: 1.013002 | Predicted: 0.958274
mp-1247379           | Ground Truth: 0.057022 | Predicted: -0.156785
mp-998893            | Ground Truth: 0.066884 | Predicted: -0.374870
mp-633538            | Ground Truth: 0.297466 | Predicted: 0.144339
mp-1077521           | Ground Truth: -0.418021 | Predicted: -0.485394
mp-1009878           | Ground Truth: 0.205764 | Predicted: 0.518429
mp-582994            | Ground Truth: -0.073960 | Predicted: -0.142023
mp-647035            | Ground Truth: -0.938335 | Predicted: -0.917451
mp-10606             | Ground Truth: -0.338132 | Predicted: -0.362800
mp-1179716           | Ground Truth: -1.317753 | Predicted: -1.639469
mp-1200757           | Ground Truth: -0.185680 | Predicted: -0.146245
mp-696174            | Ground Truth: -1.536797 | Predicted: -1.595003
mp-1104693           | Ground Truth: -0.273386 | Predicted: -0.077602
mp-1104832           | Ground Truth: -0.940719 | Predicted: -1.487470
mp-1103537           | Ground Truth: -0.271815 | Predicted: -0.247258
mp-1026630           | Ground Truth: 0.272054 | Predicted: 0.105987
